ticker,cik,name,exchange,10K_files,10Q_files,k_count,q_count,total,GICS Sector,GICS Sub-Industry,Date first added,Founded
MSFT,789019,MICROSOFT CORP,Nasdaq,"['0001564590-21-039151', '0001564590-20-034944', '0001564590-19-027952', '0001564590-18-019062', '0001564590-17-014900', '0001193125-16-662209', '0001193125-15-272806', '0001193125-14-289961', '0001193125-13-310206', '0001193125-12-316848', '0001193125-11-200680', '0001193125-10-171791', '0001193125-09-158735', '0001193125-08-162768', '0001193125-07-170817', '0001193125-06-180008', '0001193125-05-174825', '0001193125-04-150689', '0001193125-03-045632', '0001032210-02-001351', '0001032210-01-501099']","['0001564590-21-051992', '0001564590-21-020891', '0001564590-21-002316', '0001564590-20-047996', '0001564590-20-019706', '0001564590-20-002450', '0001564590-19-037549', '0001564590-19-012709', '0001564590-19-001392', '0001564590-18-024893', '0001564590-18-009307', '0001564590-18-001129', '0001564590-17-020171', '0001564590-17-007547', '0001564590-17-000654', '0001193125-16-742796', '0001193125-16-550254', '0001193125-16-441821', '0001193125-15-350718', '0001193125-15-144151', '0001193125-15-020351', '0001193125-14-380252', '0001193125-14-157088', '0001193125-14-018634', '0001193125-13-409855', '0001193125-13-160748', '0001193125-13-022207', '0001193125-12-427209', '0001193125-12-170665', '0001193125-12-017029', '0001193125-11-276022', '0001193125-11-115186', '0001193125-11-015947', '0001193125-10-239825', '0001193125-10-090116', '0001193125-10-015598', '0001193125-09-212454', '0001193125-09-085779', '0001193125-09-009386', '0001193125-08-215207', '0001193125-08-089362', '0001193125-08-011476', '0001193125-07-225854', '0001193125-07-091808', '0001193125-07-013034', '0001193125-06-215912', '0001193125-06-091033', '0001193125-06-012779', '0001193125-05-209978', '0001193125-05-088562', '0001193125-05-013133', '0001193125-04-189841', '0001193125-04-076795', '0001193125-04-016249', '0001193125-03-080353', '0001032210-03-000809', '0001032210-03-000121', '0001032210-02-001614', '0001032210-02-000709', '0001032210-02-000132', '0001032210-01-501233', '0001032210-01-500604']",21,62,83,Information Technology,Systems Software,6/1/1994,1975
AAPL,320193,Apple Inc.,Nasdaq,"['0000320193-21-000105', '0000320193-20-000096', '0000320193-19-000119', '0000320193-18-000145', '0000320193-17-000070', '0001628280-16-020309', '0001193125-15-356351', '0001193125-14-383437', '0001193125-13-416534', '0001193125-12-444068', '0001193125-11-282113', '0001193125-10-238044', '0001193125-09-214859', '0001193125-08-224958', '0001047469-07-009340', '0001104659-06-084288', '0001104659-05-058421', '0001047469-04-035975', '0001047469-03-041604', '0001047469-02-007674', '0000912057-00-053623']","['0000320193-21-000065', '0000320193-21-000056', '0000320193-21-000010', '0000320193-20-000062', '0000320193-20-000052', '0000320193-20-000010', '0000320193-19-000076', '0000320193-19-000066', '0000320193-19-000010', '0000320193-18-000100', '0000320193-18-000070', '0000320193-18-000007', '0000320193-17-000009', '0001628280-17-004790', '0001628280-17-000717', '0001628280-16-017809', '0001193125-16-559625', '0001193125-16-439878', '0001193125-15-259935', '0001193125-15-153166', '0001193125-15-023697', '0001193125-14-277160', '0001193125-14-157311', '0001193125-14-024487', '0001193125-13-300670', '0001193125-13-168288', '0001193125-13-022339', '0001193125-12-314552', '0001193125-12-182321', '0001193125-12-023398', '0001193125-11-192493', '0001193125-11-104388', '0001193125-11-010144', '0001193125-10-162840', '0001193125-10-088957', '0001193125-10-012085', '0001193125-09-153165', '0001193125-09-085781', '0001193125-09-009937', '0001193125-08-156421', '0001193125-08-097759', '0001193125-08-017426', '0001104659-07-059873', '0001104659-07-037745', '0001104659-07-006648', '0001104659-06-084286', '0001104659-06-031303', '0001104659-06-005910', '0001104659-05-035792', '0001104659-05-020421', '0001104659-05-003520', '0001104659-04-022384', '0001104659-04-013021', '0001104659-04-003080', '0001104659-03-017766', '0001104659-03-009489', '0001047469-03-004566', '0000912057-02-030796', '0000912057-02-020280', '0000912057-02-004945', '0000912057-01-528148', '0000912057-01-515409', '0000912057-01-004642', '0000912057-00-033901']",21,64,85,Information Technology,"Technology Hardware, Storage & Peripherals",11/30/1982,1977
GOOG,1652044,Alphabet Inc.,Nasdaq,"['0001652044-21-000010', '0001652044-20-000008', '0001652044-19-000004', '0001652044-18-000007', '0001652044-17-000008', '0001652044-16-000012']","['0001652044-21-000057', '0001652044-21-000047', '0001652044-21-000020', '0001652044-20-000050', '0001652044-20-000032', '0001652044-20-000021', '0001652044-19-000032', '0001652044-19-000023', '0001652044-19-000015', '0001652044-18-000035', '0001652044-18-000027', '0001652044-18-000016', '0001652044-17-000042', '0001652044-17-000026', '0001652044-17-000014', '0001652044-16-000038', '0001652044-16-000032', '0001652044-16-000021', '0001652044-15-000005']",6,19,25,Communication Services,Interactive Media & Services,4/3/2006,1998
AMZN,1018724,AMAZON COM INC,Nasdaq,"['0001018724-21-000004', '0001018724-20-000004', '0001018724-19-000004', '0001018724-18-000005', '0001018724-17-000011', '0001018724-16-000172', '0001018724-15-000006', '0001018724-14-000006', '0001193125-13-028520', '0001193125-12-032846', '0001193125-11-016253', '0001193125-10-016098', '0001193125-09-014406', '0001193125-08-024707', '0001193125-07-034081', '0001193125-06-034166', '0001193125-05-047032', '0000950149-03-000355']","['0001018724-21-000028', '0001018724-21-000020', '0001018724-21-000010', '0001018724-20-000030', '0001018724-20-000021', '0001018724-20-000010', '0001018724-19-000089', '0001018724-19-000071', '0001018724-19-000043', '0001018724-18-000159', '0001018724-18-000108', '0001018724-18-000072', '0001018724-17-000135', '0001018724-17-000100', '0001018724-17-000051', '0001018724-16-000324', '0001018724-16-000286', '0001018724-16-000227', '0001018724-15-000126', '0001018724-15-000087', '0001018724-14-000055', '0001018724-14-000025', '0001018724-14-000014', '0001445305-13-002495', '0001193125-13-303204', '0001193125-13-174667', '0001193125-12-436012', '0001193125-12-317409', '0001193125-12-187203', '0001193125-11-280739', '0001193125-11-197823', '0001193125-11-110197', '0001193125-10-233883', '0001193125-10-164083', '0001193125-10-090367', '0001193125-09-212134', '0001193125-09-154174', '0001193125-09-085983', '0001193125-08-214483', '0001193125-08-157451', '0001193125-08-089548', '0001193125-07-225370', '0001193125-07-162415', '0001193125-07-090895', '0001193125-06-215188', '0001193125-06-154437', '0001193125-06-090088', '0001193125-05-209085', '0001193125-05-150308', '0001193125-05-087021', '0001193125-04-176356', '0001193125-04-123102', '0001193125-04-067751', '0000891020-03-002504', '0000891020-03-001925', '0000891020-03-001333', '0001032210-02-001474', '0001032210-02-001115', '0001032210-02-000681', '0001032210-01-501248', '0001032210-01-500866', '0000950109-01-500823', '0000891020-00-001861', '0000891020-00-001380']",18,64,82,Consumer Discretionary,Internet & Direct Marketing Retail,11/18/2005,1994
TSLA,1318605,"Tesla, Inc.",Nasdaq,"['0001564590-21-004599', '0001564590-20-004475', '0001564590-19-003165', '0001564590-18-002956', '0001564590-17-003118', '0001564590-16-013195', '0001564590-15-001031', '0001193125-14-069681', '0001193125-13-096241', '0001193125-12-081990', '0001193125-11-054847']","['0000950170-21-002253', '0000950170-21-000524', '0000950170-21-000046', '0001564590-20-047486', '0001564590-20-033670', '0001564590-20-019931', '0001564590-19-038256', '0001564590-19-026445', '0001564590-19-013462', '0001564590-18-026353', '0001564590-18-019254', '0001564590-18-011086', '0001564590-17-021343', '0001564590-17-015705', '0001564590-17-009968', '0001564590-16-026820', '0001564590-16-023024', '0001564590-16-018886', '0001564590-15-009741', '0001564590-15-006666', '0001564590-15-003789', '0001193125-14-403635', '0001193125-14-303175', '0001193125-14-192606', '0001193125-13-435480', '0001193125-13-327916', '0001193125-13-212354', '0001193125-12-457610', '0001193125-12-332138', '0001193125-12-225825', '0001193125-11-308489', '0001193125-11-221497', '0001193125-11-139677', '0001193125-10-259068', '0001193125-10-188792']",11,35,46,Consumer Discretionary,Automobile Manufacturers,12/21/2020,2003
FB,1326801,"Meta Platforms, Inc.",Nasdaq,"['0001649749-21-000065', '0001326801-21-000014', '0001649749-20-000069', '0001326801-20-000013', '0001628280-19-002811', '0001326801-19-000009', '0001564590-18-006079', '0001326801-18-000009', '0001564590-17-005760', '0001326801-17-000007', '0001326801-16-000043', '0001326801-15-000006', '0001326801-14-000007', '0001326801-13-000003']","['0001649749-21-000180', '0001326801-21-000065', '0001649749-21-000140', '0001326801-21-000049', '0001649749-21-000098', '0001326801-21-000033', '0001649749-20-000194', '0001326801-20-000084', '0001649749-20-000151', '0001326801-20-000076', '0001649749-20-000124', '0001326801-20-000048', '0001649749-19-000053', '0001326801-19-000069', '0001649749-19-000036', '0001326801-19-000055', '0001649749-19-000008', '0001326801-19-000037', '0001564590-18-028384', '0001326801-18-000067', '0001564590-18-020892', '0001326801-18-000057', '0001564590-18-012884', '0001326801-18-000032', '0001564590-17-023751', '0001326801-17-000053', '0001564590-17-017186', '0001326801-17-000038', '0001564590-17-010687', '0001326801-17-000024', '0001564590-16-029302', '0001326801-16-000087', '0001326801-16-000082', '0001326801-16-000067', '0001326801-15-000032', '0001326801-15-000028', '0001326801-15-000015', '0001326801-14-000068', '0001326801-14-000032', '0001326801-14-000023', '0001326801-13-000031', '0001326801-13-000019', '0001326801-13-000011', '0001326801-12-000006', '0001193125-12-325997']",14,45,59,Communication Services,Interactive Media & Services,12/23/2013,2004
GE,40545,GENERAL ELECTRIC CO,NYSE,"['0000040545-21-000011', '0000040545-20-000009', '0000808362-20-000003', '0000040545-19-000014', '0000808362-19-000006', '0001701605-19-000021', '0000040545-18-000014', '0001701605-18-000029', '0000808362-18-000006', '0000040545-17-000010', '0001144204-16-090936', '0001144204-16-090261', '0001144204-16-090259', '0001144204-16-090263', '0000040545-16-000145', '0001144204-15-018955', '0001144204-15-018028', '0001144204-15-018023', '0001144204-15-018027', '0001144204-15-018024', '0001144204-15-018021', '0001144204-15-018030', '0001144204-15-018029', '0001144204-15-018026', '0001144204-15-018031', '0001144204-15-018022', '0000040545-15-000030', '0001144204-14-018853', '0001144204-14-018218', '0001144204-14-018194']","['0000040545-21-000064', '0000040545-21-000052', '0000040545-21-000026', '0000040545-20-000058', '0000040545-20-000046', '0000040545-20-000021', '0000808362-19-000019', '0000040545-19-000069', '0001701605-19-000058', '0000808362-19-000016', '0000040545-19-000053', '0000040545-19-000024', '0001701605-19-000038', '0000808362-19-000011', '0001701605-18-000103', '0000040545-18-000081', '0000808362-18-000023', '0001701605-18-000082', '0000808362-18-000017', '0000040545-18-000061', '0000040545-18-000032', '0001701605-18-000052', '0000808362-18-000012', '0000808362-17-000037', '0001701605-17-000100', '0000040545-17-000073', '0000040545-17-000053', '0001701605-17-000066', '0000808362-17-000034', '0000040545-17-000028', '0000040545-16-000195', '0000040545-16-000174', '0000040545-16-000152', '0000040545-15-000114', '0000040545-15-000088', '0000040545-15-000054', '0000040545-14-000049', '0000040545-14-000034', '0000040554-14-000061', '0000040545-13-000092', '0000040545-13-000075', '0000040545-13-000057', '0000040545-12-000088', '0000040545-12-000071', '0000040545-12-000037', '0000040545-11-000058', '0000040545-11-000047', '0000040545-11-000032', '0001193125-10-246292', '0001193125-10-173396', '0000040545-10-000042', '0000040545-09-000071', '0000040545-09-000049', '0000797463-09-000018', '0000040545-08-000059', '0000040545-08-000033', '0000040545-08-000015', '0000040545-07-000051', '0000040545-07-000039', '0000040545-07-000022', '0000040545-06-000054', '0000040545-06-000025', '0000040545-06-000015', '0001193125-05-210073', '0000040545-05-000055', '0001193125-05-152738', '0000040545-05-000041', '0001193125-05-102561', '0000040545-05-000033', '0001193125-04-181802', '0000040545-04-000045', '0001193125-04-129250', '0000040545-04-000036', '0000040545-04-000019', '0001193125-04-078036', '0000040545-03-000057', '0000947354-03-000011', '0001193125-03-070993', '0001193125-03-071003', '0000040545-03-000037', '0001193125-03-027785', '0001193125-03-027774', '0000947354-03-000009', '0000950109-03-002753', '0000950109-03-002749', '0000040545-03-000024', '0000947354-03-000003', '0000916641-02-001717', '0000947354-02-000010', '0000916641-02-001718', '0000040545-02-000058', '0000947354-02-000008', '0000040545-02-000039', '0000916641-02-001155', '0000916641-02-001154', '0000040545-02-000025', '0000916641-02-000768', '0000947354-02-000005', '0000916641-02-000766', '0000916641-01-501455']",30,100,130,Industrials,Industrial Conglomerates,,1892
JPM,19617,JPMORGAN CHASE & CO,NYSE,"['0000019617-21-000236', '0000019617-20-000257', '0000019617-19-000054', '0000019617-18-000057', '0000019617-17-000314', '0000019617-16-000902', '0000019617-15-000272', '0000019617-14-000289', '0001174947-13-000118', '0000019617-13-000221', '0001174947-12-000103', '0000019617-12-000163', '0001174947-11-000126', '0000950123-11-019773', '0001174947-10-000156', '0000950123-10-016029', '0001174947-09-000109', '0000950123-09-003840', '0001174947-08-000133', '0001193125-08-043536', '0001056404-07-001661', '0000950123-07-004474', '0000950123-07-003015', '0001125282-06-001908', '0001056404-06-001147', '0000950123-06-002875', '0001056404-05-001489', '0001125282-05-001652', '0000950123-05-002539', '0001269830-04-000002']","['0000019617-21-000458', '0000019617-21-000373', '0000019617-21-000292', '0000019617-20-000438', '0000019617-20-000372', '0000019617-20-000299', '0000019617-19-000232', '0000019617-19-000127', '0000019617-19-000067', '0000019617-18-000206', '0000019617-18-000151', '0000019617-18-000092', '0000019617-17-000552', '0000019617-17-000486', '0000019617-17-000364', '0000019617-16-001150', '0000019617-16-001056', '0000019617-16-000960', '0000019617-15-000464', '0000019617-15-000367', '0000019617-15-000318', '0000019617-14-000451', '0000019617-14-000409', '0000019617-14-000339', '0000019617-13-000400', '0000019617-13-000354', '0000019617-13-000300', '0000019617-12-000308', '0000019617-12-000264', '0000019617-12-000213', '0000019617-11-000264', '0001193125-11-212045', '0000950123-11-045948', '0000950123-10-102689', '0000950123-10-074254', '0000950123-10-047138', '0000950123-09-060099', '0000950123-09-032832', '0000950123-09-008271', '0000950123-08-014621', '0000950123-08-009300', '0000950123-08-005523', '0000950123-07-015226', '0000950123-07-011115', '0000950123-07-007195', '0000950123-06-013738', '0000950123-06-010232', '0000950123-06-005892', '0000950123-05-013293', '0000950123-05-009556', '0000950123-05-005702', '0000950123-04-009466', '0000950123-04-006069', '0000950123-03-012552', '0000950123-03-009298', '0000950123-03-005885', '0000950123-02-010925', '0000950123-02-007716', '0000950123-02-005335', '0000950123-01-508483', '0001007581-01-500009', '0000950123-01-505613', '0001007581-01-500006', '0000950123-01-502582', '0000950123-00-010650', '0000950123-00-007613']",30,66,96,Financials,Diversified Banks,6/30/1975,2000
V,1403161,VISA INC.,NYSE,"['0001104659-21-086267', '0000103379-21-000006', '0001654954-21-004298', '0001104659-21-044134', '0001213900-21-018424', '0001829126-21-001782', '0001104659-21-041527', '0001104659-21-037483', '0001214659-21-002593', '0001213900-21-012572', '0001564590-21-009507', '0001574291-21-000007', '0001564590-21-004561', '0001403161-20-000070', '0001104659-20-074983', '0000103379-20-000006', '0001654954-20-004116', '0001574291-20-000008', '0001104659-20-040370', '0001580988-20-000016', '0001267426-20-000002', '0001214659-20-002131', '0001564590-20-004075', '0001403161-19-000050', '0001144204-19-031616', '0000103379-19-000006', '0001213900-19-006474', '0001144204-19-017440', '0001654954-19-003881', '0001493152-19-004117']","['0001410578-21-000083', '0001213900-21-058175', '0001410578-21-000076', '0001214659-21-011273', '0001574291-21-000021', '0000103379-21-000017', '0000950170-21-002488', '0001193125-21-282400', '0001654954-21-009647', '0001140361-21-029593', '0001213900-21-042944', '0001104659-21-105425', '0001213900-21-042504', '0001213900-21-042501', '0001829126-21-007952', '0001104659-21-103942', '0001104659-21-103936', '0001214659-21-008268', '0001574291-21-000017', '0000103379-21-000014', '0001564590-21-039823', '0000950170-21-000619', '0001403161-21-000042', '0001213900-21-038806', '0001213900-21-029695', '0001564590-21-029548', '0001654954-21-006224', '0001104659-21-071344', '0001104659-21-070841', '0001213900-21-027205', '0001213900-21-026974', '0001140361-21-017721', '0001104659-21-065963', '0001829126-21-003843', '0001214659-21-005121', '0001574291-21-000012', '0001403161-21-000029', '0001564590-21-020175', '0001104659-21-021714', '0000103379-21-000003', '0001403161-21-000012', '0001104659-20-128076', '0001654954-20-012488', '0001580988-20-000093', '0001267425-20-000007', '0001104659-20-124377', '0001267425-20-000005', '0001214659-20-009247', '0001564590-20-051979', '0001574291-20-000026', '0000103379-20-000018', '0001564590-20-047286', '0001580988-20-000053', '0001654954-20-009148', '0001104659-20-094692', '0001104659-20-093730', '0001104659-20-093723', '0001214659-20-006908', '0000103379-20-000013', '0001574291-20-000020', '0001403161-20-000048', '0001564590-20-033299', '0001104659-20-062264', '0001654954-20-005681', '0001580988-20-000029', '0001214659-20-004471', '0001267426-20-000004', '0001574291-20-000013', '0001403161-20-000028', '0001564590-20-018302', '0001267425-20-000002', '0000103379-20-000003', '0001403161-20-000012', '0001654954-19-012828', '0001267425-19-000005', '0001267426-19-000008', '0001580988-19-000077', '0001104659-19-061159', '0001214659-19-006897', '0001574291-19-000026', '0000103379-19-000014', '0001564590-19-037774', '0001654954-19-009611', '0001144204-19-040023', '0001267426-19-000007', '0001267425-19-000004', '0001580988-19-000051', '0000103379-19-000010', '0001214659-19-005022', '0001574291-19-000020', '0001564590-19-026214', '0001403161-19-000030', '0001144204-19-026482', '0001654954-19-006125', '0001493152-19-007361', '0001580988-19-000028', '0001214659-19-003365', '0001267426-19-000005', '0001574291-19-000014', '0001564590-19-013150']",30,100,130,Information Technology,Data Processing & Outsourced Services,12/21/2009,1958
JNJ,200406,JOHNSON & JOHNSON,NYSE,"['0000200406-21-000008', '0000200406-20-000010', '0000200406-19-000009', '0000200406-18-000005', '0000200406-17-000006', '0000200406-16-000071', '0000200406-15-000004', '0000200406-14-000033', '0000200406-13-000038', '0001193125-12-075565', '0000950123-11-018128', '0000950123-10-019392', '0000950123-09-003187', '0000950123-08-002130', '0000950123-07-002542', '0000950123-06-003129', '0000950123-05-003140', '0000950123-04-003155', '0000950123-03-002936', '0000950123-02-002712']","['0000200406-21-000070', '0000200406-21-000057', '0000200406-21-000036', '0000200406-20-000056', '0000200406-20-000050', '0000200406-20-000035', '0000200406-19-000066', '0000200406-19-000053', '0000200406-19-000033', '0000200406-18-000055', '0000200406-18-000041', '0000200406-18-000019', '0000200406-17-000052', '0000200406-17-000042', '0000200406-17-000024', '0000200406-16-000112', '0000200406-16-000105', '0000200406-16-000084', '0000200406-15-000060', '0000200406-15-000044', '0000200406-15-000019', '0000200406-14-000097', '0000200406-14-000089', '0000200406-14-000047', '0000200406-13-000112', '0000200406-13-000091', '0000200406-13-000057', '0000200406-12-000140', '0000200406-12-000119', '0000200406-12-000081', '0000950123-11-075098', '0000950123-11-048125', '0000950123-10-103817', '0000950123-10-076076', '0000950123-10-047299', '0000950123-09-057624', '0000950123-09-029672', '0000200406-09-000064', '0000200406-08-000146', '0000200406-08-000119', '0000200406-08-000084', '0000200406-07-000128', '0000200406-07-000104', '0000200406-07-000076', '0000200406-06-000138', '0000200406-06-000110', '0000200406-06-000083', '0000200406-05-000138', '0000200406-05-000106', '0000200406-05-000084', '0000200406-04-000134', '0000200406-04-000106', '0000200406-04-000081', '0000200406-03-000054', '0000200406-03-000011', '0000200406-03-000008', '0000200406-02-000010', '0000200406-02-000006', '0000200406-02-000005', '0000200406-01-500010', '0000200406-01-500007', '0000200406-01-500003']",20,62,82,Health Care,Pharmaceuticals,6/30/1973,1886
