ticker,cik,name,10K_files,10Q_files,k_count,q_count,total
AMCR,0000011199,Bemis Company,"['0000011199-13-000011', '0000011199-14-000006', '0000011199-15-000006', '0000011199-16-000036', '0000011199-17-000011', '0000011199-18-000012', '0000011199-19-000006', '0001104659-03-004994', '0001104659-04-007445', '0001104659-05-010653', '0001104659-06-016718', '0001104659-07-015628', '0001104659-08-014023', '0001104659-09-012842', '0001104659-10-010599', '0001104659-11-011309', '0001104659-12-014367']","['0000011199-12-000011', '0000011199-13-000018', '0000011199-13-000024', '0000011199-13-000035', '0000011199-14-000013', '0000011199-14-000023', '0000011199-14-000029', '0000011199-15-000012', '0000011199-15-000021', '0000011199-15-000030', '0000011199-16-000044', '0000011199-16-000053', '0000011199-16-000065', '0000011199-17-000022', '0000011199-17-000031', '0000011199-17-000050', '0000011199-18-000027', '0000011199-18-000038', '0000011199-18-000045', '0000011199-19-000012', '0000912057-00-035180', '0000912057-00-049151', '0001104659-01-500406', '0001104659-01-501720', '0001104659-01-502663', '0001104659-02-001626', '0001104659-02-003192', '0001104659-02-005337', '0001104659-03-008242', '0001104659-03-018361', '0001104659-03-025311', '0001104659-04-013013', '0001104659-04-022932', '0001104659-04-034588', '0001104659-05-022015', '0001104659-05-037506', '0001104659-05-052987', '0001104659-06-033365', '0001104659-06-053124', '0001104659-06-072629', '0001104659-07-038036', '0001104659-07-060168', '0001104659-07-081520', '0001104659-08-031753', '0001104659-08-049877', '0001104659-08-069515', '0001104659-09-031285', '0001104659-09-048606', '0001104659-09-063664', '0001104659-10-027335', '0001104659-10-042993', '0001104659-10-057201', '0001104659-11-027668', '0001104659-11-061502', '0001104659-12-035636']",17,55,72
AVGO,0001441634,Avago Technologies,"['0000950123-10-113875', '0001193125-09-253349', '0001441634-12-000010', '0001441634-13-000013', '0001441634-14-000049', '0001441634-15-000089', '0001445305-11-003592']","['0000950123-11-023882', '0000950123-11-057877', '0000950123-11-083475', '0001193125-09-187012', '0001193125-10-047952', '0001193125-10-132134', '0001193125-10-203893', '0001441634-12-000004', '0001441634-12-000007', '0001441634-13-000003', '0001441634-13-000005', '0001441634-13-000007', '0001441634-14-000018', '0001441634-14-000045', '0001441634-14-000047', '0001441634-15-000002', '0001441634-15-000023', '0001441634-15-000048', '0001445305-12-000606']",7,19,26
AVGO,0001054374,Broadcom Corp,"['0000892569-02-000531', '0000892569-03-000851', '0000892569-04-000339', '0000892569-07-000139', '0000892569-08-000087', '0000950123-10-008370', '0000950123-11-008273', '0000950134-05-003964', '0000950134-06-002774', '0000950134-09-001749', '0001054374-13-000018', '0001054374-14-000012', '0001054374-15-000012', '0001193125-12-033198']","['0000892569-01-500702', '0000892569-01-501081', '0000892569-02-001136', '0000892569-02-001800', '0000892569-02-002319', '0000892569-03-001354', '0000892569-03-001907', '0000892569-03-002518', '0000892569-05-000554', '0000892569-05-000944', '0000892569-06-000653', '0000892569-07-000033', '0000892569-07-000034', '0000892569-07-000550', '0000892569-07-000946', '0000892569-07-001318', '0000892569-09-000455', '0000950123-09-024912', '0000950123-09-052329', '0000950123-10-038903', '0000950123-10-068586', '0000950123-10-096130', '0000950123-11-039337', '0000950123-11-067892', '0000950123-11-091780', '0000950134-05-008878', '0000950134-08-007222', '0000950134-08-013120', '0000950134-08-018252', '0000950137-04-003850', '0000950137-04-006460', '0001054374-12-000021', '0001054374-13-000072', '0001054374-13-000123', '0001054374-13-000149', '0001054374-14-000055', '0001054374-14-000106', '0001054374-14-000153', '0001054374-15-000062', '0001054374-15-000104', '0001054374-15-000124', '0001095811-00-002799', '0001095811-01-502342', '0001193125-12-201117', '0001193125-12-312411']",14,45,59
AVGO,0001649338,Broadcom Merged,"['0001649338-16-000151', '0001649338-17-000158']","['0001649338-16-000019', '0001649338-16-000088', '0001649338-16-000104', '0001649338-17-000027', '0001649338-17-000093', '0001649338-17-000107', '0001649338-18-000027']",2,7,9
BF,14693,.,"['0000014693-21-000091', '0001104659-21-086265', '0001104659-21-086267']","['0000014693-21-000158', '0000943440-08-000372', '0001104659-21-021707', '0001104659-21-021714', '0001104659-21-103939', '0001104659-21-103942', '0001410578-21-000076', '0001410578-21-000078']",3,8,11
BRK,1067983,.,"['0000950129-05-002423', '0000950129-06-002521', '0000950134-07-004573', '0000950134-08-003848', '0000950150-01-000114', '0000950150-02-000303', '0000950150-03-000377', '0000950150-04-000327', '0001193125-09-042055', '0001193125-10-043450', '0001193125-11-048914', '0001193125-12-079022', '0001193125-13-087679', '0001193125-14-078778', '0001193125-15-070966', '0001193125-16-483023', '0001193125-17-056969', '0001193125-18-057033', '0001193125-19-048926', '0001477932-12-002560', '0001477932-13-003611', '0001477932-14-003828', '0001477932-15-004744', '0001477932-16-011552', '0001477932-17-003995', '0001564590-20-005874', '0001564590-21-009611']","['0000950123-19-009995', '0000950129-04-002994', '0000950129-04-005709', '0000950129-04-008588', '0000950129-05-004868', '0000950129-05-007767', '0000950129-05-010572', '0000950129-06-005040', '0000950134-06-014893', '0000950134-06-020444', '0000950134-07-016772', '0000950134-07-022672', '0000950148-08-000131', '0000950150-00-000694', '0000950150-00-000904', '0000950150-01-500319', '0000950150-01-500515', '0000950150-01-500755', '0000950150-02-000490', '0000950150-02-000743', '0000950150-02-001032', '0000950150-03-000563', '0000950150-03-000865', '0000950150-03-001248', '0000950150-07-000022', '0000950150-08-000015', '0000950150-08-000030', '0001157523-09-005813', '0001157523-09-007839', '0001157523-10-002982', '0001157523-10-004882', '0001157523-10-006675', '0001157523-11-002891', '0001157523-11-004793', '0001157523-12-004238', '0001193125-09-105560', '0001193125-12-449402', '0001193125-13-199397', '0001193125-13-317399', '0001193125-14-291724', '0001193125-14-403605', '0001193125-15-166595', '0001193125-15-283231', '0001193125-15-370187', '0001193125-16-582004', '0001193125-16-673492', '0001193125-16-760194', '0001193125-17-160889', '0001193125-17-248832', '0001193125-17-332829', '0001193125-18-153460', '0001193125-18-238892', '0001193125-18-317734', '0001193125-19-137433', '0001477932-12-000891', '0001477932-12-003521', '0001477932-12-004741', '0001477932-13-000987', '0001477932-13-004083', '0001477932-13-005961', '0001477932-14-001017', '0001477932-14-004902', '0001477932-14-007050', '0001477932-15-001258', '0001477932-15-005823', '0001477932-15-007384', '0001477932-16-008964', '0001477932-16-012470', '0001477932-16-014177', '0001477932-17-001251', '0001477932-17-004603', '0001477932-20-002187', '0001564590-19-028491', '0001564590-20-020599', '0001564590-20-038544', '0001564590-20-052144', '0001564590-21-022703', '0001564590-21-042312', '0001564590-21-055032']",27,79,106
CI,0000701221,CIGNA,"['0000893220-09-000405', '0000950123-10-016612', '0000950159-03-000165', '0000950159-04-000243', '0000950159-05-000256', '0000950159-06-000332', '0000950159-07-000285', '0000950159-08-000407', '0001047469-15-001276', '0001047469-16-010432', '0001047469-17-000899', '0001047469-18-001158', '0001308179-11-000024', '0001308179-12-000042']","['0000950123-09-027787', '0000950123-09-058417', '0000950123-10-045388', '0000950123-10-073165', '0000950123-10-097957', '0000950159-00-500008', '0000950159-00-500023', '0000950159-01-500065', '0000950159-01-500189', '0000950159-01-500321', '0000950159-02-000281', '0000950159-02-000462', '0000950159-02-000708', '0000950159-03-000375', '0000950159-03-000636', '0000950159-03-000867', '0000950159-04-000468', '0000950159-04-000725', '0000950159-04-000954', '0000950159-05-000543', '0000950159-05-000888', '0000950159-05-001239', '0000950159-06-000665', '0000950159-06-001059', '0000950159-06-001448', '0000950159-07-000609', '0000950159-07-000941', '0000950159-07-001318', '0000950159-08-000757', '0000950159-08-001130', '0000950159-08-001516', '0001047469-12-007677', '0001104659-12-073103', '0001104659-13-036475', '0001104659-13-058844', '0001104659-13-079603', '0001104659-14-033290', '0001104659-14-055390', '0001104659-14-075195', '0001104659-15-032254', '0001104659-15-054796', '0001104659-15-076424', '0001104659-16-118534', '0001104659-16-135285', '0001104659-16-154504', '0001104659-17-030101', '0001104659-17-049513', '0001104659-17-065484', '0001104659-18-030187', '0001104659-18-049062', '0001104659-18-065339', '0001308179-11-000059', '0001308179-11-000081', '0001308179-11-000115', '0001308179-12-000129', '0001362310-09-006143']",14,56,70
CI,0001532063,Express Scripts,"['0001193125-13-063930', '0001532063-14-000006', '0001532063-15-000004', '0001532063-16-000017', '0001532063-17-000004', '0001532063-18-000004']","['0001193125-12-225583', '0001193125-12-340911', '0001445305-13-000961', '0001532063-13-000004', '0001532063-14-000011', '0001532063-14-000028', '0001532063-15-000007', '0001532063-15-000010', '0001532063-15-000013', '0001532063-16-000020', '0001532063-16-000023', '0001532063-16-000026', '0001532063-17-000007', '0001532063-17-000011', '0001532063-17-000014', '0001532063-18-000007', '0001532063-18-000011', '0001532063-18-000014']",6,18,24
CTRA,0000858470,Cabot Oil Gas Corp,"['0000858470-16-000036', '0000858470-17-000007', '0000858470-18-000006', '0000858470-19-000008', '0000858470-20-000012', '0000858470-21-000013', '0000899243-02-000382', '0000899243-03-000363', '0001047469-12-001751', '0001047469-13-001948', '0001047469-14-001538', '0001193125-04-025904', '0001193125-05-040899', '0001193125-06-046016', '0001193125-07-042830', '0001193125-08-039904', '0001193125-09-040956', '0001193125-10-042257', '0001193125-11-049690', '0001628280-15-001120']","['0000858470-15-000006', '0000858470-15-000015', '0000858470-15-000027', '0000858470-16-000049', '0000858470-16-000061', '0000858470-16-000066', '0000858470-17-000013', '0000858470-17-000023', '0000858470-17-000024', '0000858470-18-000022', '0000858470-18-000043', '0000858470-18-000056', '0000858470-19-000016', '0000858470-19-000032', '0000858470-19-000038', '0000858470-20-000019', '0000858470-20-000032', '0000858470-20-000049', '0000858470-21-000022', '0000858470-21-000049', '0000858470-21-000060', '0000899243-01-500206', '0000899243-01-501044', '0000899243-01-501611', '0000899243-02-001306', '0000899243-02-002113', '0000899243-02-002761', '0001104659-11-058807', '0001104659-12-029890', '0001104659-12-051649', '0001104659-12-071549', '0001104659-13-056880', '0001104659-13-077893', '0001104659-14-030311', '0001104659-14-053505', '0001193125-03-002831', '0001193125-03-026323', '0001193125-03-069476', '0001193125-04-074335', '0001193125-04-135944', '0001193125-04-180934', '0001193125-05-090413', '0001193125-05-152431', '0001193125-05-211218', '0001193125-06-103584', '0001193125-06-153901', '0001193125-06-217119', '0001193125-07-099474', '0001193125-07-165421', '0001193125-07-228218', '0001193125-08-102247', '0001193125-08-161322', '0001193125-08-221884', '0001193125-09-093943', '0001193125-09-159490', '0001193125-09-217450', '0001193125-10-100927', '0001193125-10-171983', '0001193125-10-240960', '0001193125-11-117544', '0001193125-11-202290', '0001445305-14-004439']",20,62,82
CTRA,0001168054,Cimarex Energy,"['0001047469-03-009118', '0001047469-08-001923', '0001047469-09-001974', '0001047469-10-001512', '0001047469-12-001276', '0001047469-13-001692', '0001047469-14-001366', '0001104659-04-006935', '0001104659-05-011144', '0001104659-06-015366', '0001104659-07-014852', '0001168054-18-000004', '0001168054-19-000006', '0001168054-20-000004', '0001168054-21-000008', '0001558370-15-000150', '0001558370-16-003392', '0001558370-17-000965']","['0000912057-02-042566', '0001047469-03-017905', '0001047469-03-027022', '0001047469-03-036523', '0001104659-04-012590', '0001104659-04-022527', '0001104659-04-033542', '0001104659-05-021672', '0001104659-05-037434', '0001104659-05-053135', '0001104659-06-031507', '0001104659-06-071713', '0001104659-07-037516', '0001104659-07-058246', '0001104659-07-080583', '0001104659-08-030277', '0001104659-08-049923', '0001104659-08-067883', '0001104659-09-029834', '0001104659-09-048135', '0001104659-09-062141', '0001104659-10-026823', '0001104659-10-041801', '0001104659-10-055541', '0001104659-11-026763', '0001104659-11-043622', '0001104659-12-032515', '0001104659-12-053658', '0001104659-12-073591', '0001104659-13-038109', '0001104659-13-060918', '0001104659-13-081612', '0001168054-17-000005', '0001168054-18-000010', '0001168054-18-000021', '0001168054-18-000030', '0001168054-19-000011', '0001168054-19-000017', '0001168054-19-000022', '0001168054-20-000010', '0001168054-20-000016', '0001168054-20-000023', '0001168054-21-000018', '0001168054-21-000025', '0001558370-14-000019', '0001558370-14-000103', '0001558370-14-000307', '0001558370-15-000719', '0001558370-15-001399', '0001558370-15-002220', '0001558370-16-005375', '0001558370-16-007339', '0001558370-16-009179', '0001558370-17-004140', '0001558370-17-006379']",18,55,73
